source_title	rank_occ	rank_gcs	OCC	global_citations	h_index	g_index	m_index
Boletin Tecnico/Technical Bulletin	1	8	1820	2810	14	4	1.56
DYNA (Colombia)	2	4	1341	5321	22	6	2.2
Computacion y Sistemas	3	7	1037	3310	22	6	2.2
Revista Mexicana de Ingeniera Quimica	4	3	903	5404	23	5	2.3
Informacion Tecnologica	5	6	882	3648	19	5	1.9
Interciencia	6	10	871	2342	15	5	1.5
Formacion Universitaria	7	5	701	4205	24	6	2.4
Tecnologia y Ciencias del Agua	8	14	625	1552	13	4	1.3
Electronic Journal of Biotechnology	9	1	593	11229	49	11	4.9
Journal of Applied Research and Technology	10	2	580	5889	39	9	3.9
Journal of Technology Management and Innovation	16	9	406	2772	22	6	2.2
