authors	rank_occ	rank_gcs	OCC	global_citations	h_index	g_index	m_index
Ganga-Contreras F.A.	1	37	39	182	8	3	0.89
Rejas L.P.	2	12	37	240	9	4	0.9
Campos-Aranda D.F.	3	409	37	64	4	2	0.4
Severino-González P.	4	14	36	221	9	3	1.5
Gelbukh A.	5	15	33	219	8	4	0.8
Acevedo-Correa D.	6	47	33	164	8	3	0.8
López-Lezama J.M.	7	39	30	177	7	4	0.7
Vidal-Silva C.L.	8	61	29	152	7	3	0.7
Valencia-Arias A.	9	38	28	178	9	3	0.9
Nicolás M.-G.	10	65	27	148	6	4	0.6
Rodríguez-Ponce E.R.	11	36	26	185	8	4	0.8
Ortega-Toro R.	12	58	26	157	7	3	0.88
Morán R.C.D.	13	2464	25	21	2	1	0.5
Rangel P.P.	14	424	24	63	4	2	0.44
Escobar D.A.	15	214	23	86	5	2	0.5
Paz-Pellat F.	16	475	23	58	5	3	0.56
Bustamante-Ubilla M.A.	17	109	22	117	6	3	0.6
Herrera T.J.F.	18	46	21	167	8	3	0.89
Castrillón O.D.	19	128	20	110	6	3	0.67
Zapata J.E.	20	129	20	109	7	3	0.78
