organizations	rank_occ	rank_gcs	rank_lcs	OCC	global_citations	local_citations	first_publication_year	last_year	age	global_citations_per_year	local_citations_per_year	global_citations_per_document	local_citations_per_document	h_index	g_index	m_index	counters
Univ Nac de Colombia (COL)	1	1	2	829	3754	28	2015	2024	10	375.4	2.8	4.5283474065138725	0.033775633293124246	21	6	2.1	Univ Nac de Colombia (COL) 829:3754
Inst Politec Nac (MEX)	2	2	1	602	2342	39	2015	2024	10	234.2	3.9	3.8903654485049834	0.06478405315614617	19	5	1.9	Inst Politec Nac (MEX) 602:2342
Univ de Antioquia (COL)	3	3	44	353	1406	6	2015	2024	10	140.6	0.6	3.9830028328611897	0.0169971671388102	16	4	1.6	Univ de Antioquia (COL) 353:1406
Univ Nac Autonoma de Mexico (MEX)	4	4	8	254	1171	13	2015	2024	10	117.1	1.3	4.610236220472441	0.051181102362204724	15	5	1.5	Univ Nac Autonoma de Mexico (MEX) 254:1171
Univ Autonoma Metropolitana (MEX)	5	7	5	248	910	18	2015	2024	10	91.0	1.8	3.6693548387096775	0.07258064516129033	12	4	1.2	Univ Autonoma Metropolitana (MEX) 248:910
Univ de Tarapaca (CHL)	6	8	82	237	761	4	2015	2024	10	76.1	0.4	3.210970464135021	0.016877637130801686	11	4	1.1	Univ de Tarapaca (CHL) 237:761
Tecnol Nac de Mexico (MEX)	7	11	33	234	695	7	2015	2024	10	69.5	0.7	2.97008547008547	0.029914529914529916	11	4	1.1	Tecnol Nac de Mexico (MEX) 234:695
Univ del Valle (COL)	8	5	19	232	983	9	2015	2024	10	98.3	0.9	4.237068965517241	0.03879310344827586	15	4	1.5	Univ del Valle (COL) 232:983
CONICET (ARG)	9	15	9	192	528	13	2015	2024	10	52.8	1.3	2.75	0.06770833333333333	10	4	1.0	CONICET (ARG) 192:528
Univ Ind de Santander (COL)	10	12	83	179	656	4	2015	2024	10	65.6	0.4	3.664804469273743	0.0223463687150838	12	4	1.2	Univ Ind de Santander (COL) 179:656
