revistas,scielo_url,publicador,status
"African Journal of Information and Communication","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2077-7213&lng=en","LINK Centre, School of Literature Language and Media (SLLM), Faculty of Humanities, University of the Witwatersrand","current"
"Ambiente Construído","http://www.scielo.br/scielo.php?script=sci_serial&pid=1678-8621&lng=en","Associação Nacional de Tecnologia do Ambiente Construído - ANTAC","current"
"Anais da Academia Brasileira de Ciências","http://www.scielo.br/scielo.php?script=sci_serial&pid=0001-3765&lng=en","Academia Brasileira de Ciências","current"
"Arquitectura y Urbanismo","http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-5898&lng=en","Instituto Superior Politécnico José Antonio Echeverría","suspended"
"Biotecnología Aplicada","http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1027-2852&lng=en","Editorial Elfos Scientiae","current"
"Biotecnología en el Sector Agropecuario y Agroindustrial","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1692-3561&lng=en","Taller Editorial Universidad del Cauca","current"
"Boletín de Malariología y Salud Ambiental","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1690-4648&lng=en","Instituto de Altos Estudios en Salud Pública Dr. Arnoldo Gabaldon","current"
"Boletín Técnico","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0376-723X&lng=en","Instituto de Materiales y Modelos Estructurales.Facultad de Ingenieria. Universidad Central de Venezuela.","suspended"
"Brazilian Archives of Biology and Technology","http://www.scielo.br/scielo.php?script=sci_serial&pid=1516-8913&lng=en","Instituto de Tecnologia do Paraná - Tecpar","current"
"Brazilian Journal of Chemical Engineering","http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-6632&lng=en","Brazilian Society of Chemical Engineering","current"
"Cerâmica","http://www.scielo.br/scielo.php?script=sci_serial&pid=0366-6913&lng=en","Associação Brasileira de Cerâmica","current"
"Ciência & Tecnologia dos Materiais","http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0870-8312&lng=en","Sociedade Portuguesa de Materiais","suspended"
"Ciencia e Ingeniería Neogranadina","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0124-8170&lng=en","Universidad Militar Nueva Granada","current"
"CienciaUAT","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-7858&lng=en","Universidad Autónoma de Tamaulipas","current"
"CLEI Electronic Journal","http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=0717-5000&lng=en","Centro Latinoamericano de Estudios en Informática","deceased"
"Computación y Sistemas","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-5546&lng=en","Centro de Investigación en computación, IPN","current"
"Concreto y cemento. Investigación y desarrollo","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-3011&lng=en","Instituto Mexicano del Cemento y del Concreto, A.C.","suspended"
"Corrosão e Protecção de Materiais","http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0870-1164&lng=en","LNEG - Laboratório Nacional de Energia e Geologia, I.P.","suspended"
"CT&F - Ciencia, Tecnología y Futuro","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0122-5383&lng=en","Instituto Colombiano del Petróleo (ICP) - ECOPETROL S.A.","current"
"Cuadernos de Investigación UNED","http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1659-4266&lng=en","Universidad Estatal a Distancia de Costa Rica","current"
"DYNA","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0012-7353&lng=en","Universidad Nacional de Colombia","current"
"Electronic Journal of Biotechnology","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-3458&lng=en","Pontificia Universidad Católica de Valparaíso","suspended"
"Engenharia Sanitaria e Ambiental","http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-4152&lng=en","Associação Brasileira de Engenharia Sanitária e Ambiental - ABES","current"
"Entre Ciencia e Ingeniería","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1909-8367&lng=en","Universidad Católica de Pereira","current"
"Facultad de Ingeniería","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-1129&lng=en","Universidad Pedagógica y Tecnológica de Colombia","current"
"Formación universitaria","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5006&lng=en","Centro de Información Tecnológica","current"
"Gestão & Produção","http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-530X&lng=en","Universidade Federal de São Carlos","current"
"Información tecnológica","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-0764&lng=en","Centro de Información Tecnológica","current"
"Infraestructura Vial","http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=2215-3705&lng=en","Universidad de Costa Rica, Laboratorio Nacional de Materiales y Modelos Estructurales","current"
"Ingeniare. Revista chilena de ingeniería","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-3305&lng=en","Universidad de Tarapacá.","current"
